source,subject,trial,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm
human,oaf_10596,1.10596,32.0,1.0060388219513237,0.10660260168903608,1.134245870603302,0.2,0.49984821336099233,-1.5210974368762344,0.21847199611880241,6.0,0.1935483870967742,3.04540427214266
human,oaf_10597,1.10597,18.0,1.0201527557346113,0.09222893718717,1.1066461535556533,0.23529411764705882,0.496019485901852,-1.4342581442152325,0.23829207681452527,1.0,0.058823529411764705,1.7036745286442623
human,oaf_10597,3.10597,12.0,0.9856197809928424,0.041161946726498234,1.039691202743427,0.25,0.503807687773179,-1.4852147272342535,0.22645370967669026,0.0,0.0,2.2715046385735205
human,oaf_10619,1.10619,27.0,0.9684412789619873,0.12343600530954028,1.094554940149452,0.21428571428571427,0.509922159575532,-1.6952218707679572,0.18355849824442932,4.0,0.15384615384615385,2.351929363750375
human,oaf_10632,1.10632,26.0,0.994258023727794,0.10626567097365296,1.0799495862342003,0.18181818181818182,0.5028412032744577,-1.8309670281457535,0.1602585183208494,5.0,0.2,3.6132343820719184
human,oaf_10632,3.10632,27.0,0.9918858851059993,0.11363385438677365,1.1314415278361003,0.2,0.5035469752514872,-1.5124968480242353,0.22035908734864207,3.0,0.11538461538461539,1.351929363750375
human,oaf_10632,4.10632,17.0,1.0105776027097095,0.12241824065043386,1.1638909827101376,0.18181818181818182,0.4990754734976306,-1.7305544228387395,0.17718614668625943,3.0,0.1875,3.964979546965805
human,oaf_10634,1.10634,15.0,1.031150082738279,0.1562716746854071,1.2324321612485165,0.25,0.4949849752507515,-1.9498608466404803,0.14229387087908446,3.0,0.21428571428571427,4.487589583608891
human,oaf_10652,1.10652,22.0,1.0513300731770354,0.15021205224263368,1.2118577536268074,0.23529411764705882,0.4899944187553654,-1.510052207373883,0.22089844513061638,6.0,0.2857142857142857,5.65845445535809
human,oaf_10652,3.10652,21.0,0.9710270065564999,0.17250248203069335,1.1592426709969803,0.21428571428571427,0.5110600282759139,-1.4363569263392646,0.23779247812120144,5.0,0.25,4.919759473679633
human,oaf_10652,4.10652,20.0,0.9872070454870494,0.13335629917678724,1.1772123233985992,0.21052631578947367,0.5054082706891905,-1.4323278384130471,0.23875249762653383,4.0,0.21052631578947367,4.181064492001176
human,oaf_10652,6.10652,17.0,1.05146314560957,0.12187541372772691,1.1915882614535618,0.25,0.48905466486160093,-2.270036607711294,0.10330839812986332,5.0,0.3125,5.964979546965806
